domain	intent	parallel	pattern 	 o
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie kareta z polskiego na niemiecki przy użyciu yandex 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie sobota z polskiego na włoski przy użyciu google 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie stop z polskiego na francuski przy użyciu microsoft 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie las z polskiego na hiszpański przy użyciu deepl 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie bitte schön z niemieckiego na polski przy użyciu yandex 	 o o o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie später z niemieckiego na angielski przy użyciu google 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie schließfächer z niemieckiego na włoski przy użyciu microsoft 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie bringen sie mich bitte dahin z niemieckiego na francuski przy użyciu deepl 	 o o o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie ich möchte auschecken z niemieckiego na hiszpański przy użyciu yandex 	 o o o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie c'è il servizio al tavolo z włoskiego na polski przy użyciu google 	 o o o b-text i-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie che cos'è z włoskiego na niemiecki przy użyciu microsoft 	 o o o b-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie mangio solamente cibo kosher z włoskiego na angielski przy użyciu deepl 	 o o o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie quanto costa questo z włoskiego na francuski przy użyciu yandex 	 o o o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie strada z włoskiego na hiszpański przy użyciu google 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie aidez-moi s'il vous plaît z francuskiego na polski przy użyciu microsoft 	 o o o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie hier z francuskiego na niemiecki przy użyciu deepl 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie j'ai besoin de savon z francuskiego na włoski przy użyciu yandex 	 o o o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie coca z francuskiego na angielski przy użyciu google 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie cinq z francuskiego na hiszpański przy użyciu microsoft 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie quiero alquilar un coche z hiszpańskiego na polski przy użyciu deepl 	 o o o b-text i-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie no entiendo z hiszpańskiego na niemiecki przy użyciu yandex 	 o o o b-text i-text o b-src_lang o b-trg_lang o o b-translator
